 Example 1 - Column Test                                                 
 
 Program SWMS_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = sec  , M = -    


 Time  ***     60.0000 ***

    n    x(n)  z(n)     vz(n)     vz(n+1) ...
  111      .0      .0  -.14E-06  -.15E-06


 Time  ***   3600.0000 ***

    n    x(n)  z(n)     vz(n)     vz(n+1) ...

    1      .0    61.0  -.13E-02  -.13E-02
    3      .0    60.8  -.13E-02  -.13E-02
    5      .0    60.5  -.13E-02  -.13E-02
    7      .0    60.3  -.13E-02  -.13E-02
    9      .0    60.0  -.13E-02  -.13E-02
   11      .0    59.5  -.13E-02  -.13E-02
   13      .0    59.0  -.13E-02  -.13E-02
   15      .0    58.0  -.13E-02  -.13E-02
   17      .0    57.0  -.13E-02  -.13E-02
   19      .0    56.0  -.13E-02  -.13E-02
   21      .0    55.0  -.13E-02  -.13E-02
   23      .0    54.0  -.13E-02  -.13E-02
   25      .0    53.0  -.13E-02  -.13E-02
   27      .0    52.0  -.13E-02  -.13E-02
   29      .0    51.0  -.13E-02  -.13E-02
   31      .0    50.0  -.13E-02  -.13E-02
   33      .0    49.0  -.13E-02  -.13E-02
   35      .0    48.0  -.13E-02  -.13E-02
   37      .0    47.0  -.13E-02  -.13E-02
   39      .0    46.0  -.13E-02  -.13E-02
   41      .0    45.0  -.13E-02  -.13E-02
   43      .0    44.0  -.12E-02  -.12E-02
   45      .0    43.0  -.12E-02  -.12E-02
   47      .0    42.0  -.12E-02  -.12E-02
   49      .0    41.0  -.12E-02  -.12E-02
   51      .0    40.0  -.12E-02  -.12E-02
   53      .0    39.0  -.12E-02  -.12E-02
   55      .0    38.0  -.12E-02  -.12E-02
   57      .0    37.0  -.12E-02  -.11E-02
   59      .0    36.0  -.11E-02  -.11E-02
   61      .0    35.0  -.11E-02  -.11E-02
   63      .0    34.0  -.11E-02  -.11E-02
   65      .0    33.0  -.11E-02  -.10E-02
   67      .0    32.0  -.10E-02  -.96E-03
   69      .0    31.0  -.97E-03  -.91E-03
   71      .0    30.0  -.91E-03  -.83E-03
   73      .0    29.0  -.82E-03  -.72E-03
   75      .0    28.0  -.70E-03  -.59E-03
   77      .0    27.0  -.50E-03  -.41E-03
   79      .0    26.0  -.21E-03  -.19E-03
   81      .0    25.0  -.27E-04  -.40E-04
   83      .0    24.0  -.43E-05  -.79E-05
   85      .0    23.0  -.72E-06  -.11E-05
   87      .0    22.0  -.40E-06  -.43E-06
   89      .0    21.0  -.38E-06  -.38E-06
   91      .0    20.0  -.37E-06  -.37E-06
   93      .0    18.0  -.37E-06  -.37E-06
   95      .0    16.0  -.37E-06  -.37E-06
   97      .0    14.0  -.37E-06  -.37E-06
   99      .0    12.0  -.37E-06  -.37E-06
  101      .0    10.0  -.37E-06  -.37E-06
  103      .0     8.0  -.37E-06  -.37E-06
  105      .0     6.0  -.36E-06  -.36E-06
  107      .0     4.0  -.31E-06  -.33E-06
  109      .0     2.0  -.18E-06  -.23E-06
  111      .0      .0  -.12E-06  -.13E-06


 Time  ***   5400.0000 ***

    n    x(n)  z(n)     vz(n)     vz(n+1) ...

    1      .0    61.0  -.12E-02  -.12E-02
    3      .0    60.8  -.12E-02  -.12E-02
    5      .0    60.5  -.12E-02  -.12E-02
    7      .0    60.3  -.12E-02  -.12E-02
    9      .0    60.0  -.12E-02  -.12E-02
   11      .0    59.5  -.12E-02  -.12E-02
   13      .0    59.0  -.12E-02  -.12E-02
   15      .0    58.0  -.12E-02  -.12E-02
   17      .0    57.0  -.12E-02  -.12E-02
   19      .0    56.0  -.12E-02  -.12E-02
   21      .0    55.0  -.12E-02  -.12E-02
   23      .0    54.0  -.12E-02  -.12E-02
   25      .0    53.0  -.12E-02  -.12E-02
   27      .0    52.0  -.12E-02  -.12E-02
   29      .0    51.0  -.12E-02  -.12E-02
   31      .0    50.0  -.12E-02  -.12E-02
   33      .0    49.0  -.12E-02  -.12E-02
   35      .0    48.0  -.12E-02  -.12E-02
   37      .0    47.0  -.12E-02  -.12E-02
   39      .0    46.0  -.12E-02  -.12E-02
   41      .0    45.0  -.12E-02  -.12E-02
   43      .0    44.0  -.11E-02  -.11E-02
   45      .0    43.0  -.11E-02  -.11E-02
   47      .0    42.0  -.11E-02  -.11E-02
   49      .0    41.0  -.11E-02  -.11E-02
   51      .0    40.0  -.11E-02  -.11E-02
   53      .0    39.0  -.11E-02  -.11E-02
   55      .0    38.0  -.11E-02  -.11E-02
   57      .0    37.0  -.11E-02  -.11E-02
   59      .0    36.0  -.11E-02  -.11E-02
   61      .0    35.0  -.11E-02  -.11E-02
   63      .0    34.0  -.11E-02  -.11E-02
   65      .0    33.0  -.11E-02  -.11E-02
   67      .0    32.0  -.11E-02  -.11E-02
   69      .0    31.0  -.10E-02  -.10E-02
   71      .0    30.0  -.10E-02  -.10E-02
   73      .0    29.0  -.10E-02  -.10E-02
   75      .0    28.0  -.10E-02  -.10E-02
   77      .0    27.0  -.10E-02  -.98E-03
   79      .0    26.0  -.98E-03  -.95E-03
   81      .0    25.0  -.96E-03  -.93E-03
   83      .0    24.0  -.94E-03  -.90E-03
   85      .0    23.0  -.91E-03  -.86E-03
   87      .0    22.0  -.86E-03  -.81E-03
   89      .0    21.0  -.82E-03  -.76E-03
   91      .0    20.0  -.83E-03  -.71E-03
   93      .0    18.0  -.53E-03  -.41E-03
   95      .0    16.0  -.11E-03  -.11E-03
   97      .0    14.0  -.73E-05  -.12E-04
   99      .0    12.0  -.11E-05  -.19E-05
  101      .0    10.0  -.40E-06  -.43E-06
  103      .0     8.0  -.37E-06  -.37E-06
  105      .0     6.0  -.34E-06  -.35E-06
  107      .0     4.0  -.28E-06  -.30E-06
  109      .0     2.0  -.15E-06  -.20E-06
  111      .0      .0  -.96E-07  -.99E-07
