

 TLevel   Time         dt      Iter  ItCum
  390    .147E+03    .173E+00    2   808
  391    .147E+03    .173E+00    2   810
  392    .147E+03    .173E+00    2   812
  393    .147E+03    .200E-01    2   814
  394    .147E+03    .258E-01    2   816
  395    .147E+03    .341E-01    2   818
  396    .147E+03    .438E-01    2   820
  397    .147E+03    .584E-01    2   822
  398    .147E+03    .744E-01    2   824
  399    .147E+03    .929E-01    2   826
  400    .147E+03    .130E+00    2   828
  401    .148E+03    .173E+00    2   830
  402    .148E+03    .173E+00    2   832
  403    .148E+03    .173E+00    2   834
  404    .148E+03    .250E+00    2   836
  405    .149E+03    .375E+00    2   838
  406    .149E+03    .375E+00    2   840
  407    .150E+03    .500E+00    3   843
  408    .150E+03    .500E+00    3   846
  409    .151E+03    .500E+00    3   849
  410    .151E+03    .500E+00    3   852
  411    .152E+03    .500E+00    3   855
  412    .152E+03    .500E+00    3   858
  413    .153E+03    .500E+00    3   861
  414    .153E+03    .500E+00    3   864
  415    .154E+03    .500E+00    3   867
  416    .154E+03    .500E+00    3   870
  417    .155E+03    .500E+00    2   872
  418    .155E+03    .500E+00    3   875
  419    .156E+03    .500E+00    3   878
  420    .156E+03    .500E+00    3   881
  421    .156E+03    .200E-01    3   884
  422    .156E+03    .258E-01    3   887
  423    .156E+03    .341E-01    3   890
  424    .156E+03    .438E-01    3   893
  425    .156E+03    .584E-01    3   896
  426    .156E+03    .744E-01    3   899
  427    .156E+03    .929E-01    3   902
  428    .156E+03    .130E+00    4   906
  429    .157E+03    .130E+00    3   909
  430    .157E+03    .195E+00    4   913
  431    .157E+03    .195E+00    4   917
  432    .157E+03    .200E-01    2   919
  433    .157E+03    .196E+00    3   922
  434    .157E+03    .261E+00    3   925
  435    .158E+03    .261E+00    2   927
  436    .158E+03    .261E+00    2   929
  437    .159E+03    .500E+00    2   931
  438    .159E+03    .500E+00    2   933
  439    .160E+03    .500E+00    2   935
  440    .160E+03    .500E+00    2   937
  441    .161E+03    .500E+00    2   939
  442    .161E+03    .500E+00    2   941
  443    .161E+03    .200E-01    2   943
  444    .161E+03    .258E-01    2   945
  445    .161E+03    .341E-01    2   947
  446    .161E+03    .438E-01    2   949
  447    .161E+03    .584E-01    2   951
  448    .161E+03    .744E-01    2   953
  449    .161E+03    .929E-01    2   955
  450    .161E+03    .130E+00    2   957
  451    .162E+03    .173E+00    2   959
  452    .162E+03    .173E+00    2   961
  453    .162E+03    .173E+00    2   963
  454    .162E+03    .200E-01    3   966
  455    .162E+03    .258E-01    3   969
  456    .162E+03    .341E-01    3   972
  457    .162E+03    .438E-01    3   975
  458    .162E+03    .584E-01    3   978
  459    .162E+03    .744E-01    3   981
  460    .162E+03    .929E-01    3   984
  461    .162E+03    .130E+00    3   987
  462    .163E+03    .173E+00    3   990
  463    .163E+03    .173E+00    3   993
  464    .163E+03    .173E+00    3   996
  465    .163E+03    .200E-01    2   998
  466    .163E+03    .258E-01    2  1000
  467    .163E+03    .341E-01    2  1002
  468    .163E+03    .438E-01    2  1004
  469    .163E+03    .584E-01    2  1006
  470    .163E+03    .744E-01    2  1008
  471    .163E+03    .929E-01    2  1010
  472    .163E+03    .130E+00    3  1013
  473    .164E+03    .173E+00    3  1016
  474    .164E+03    .173E+00    3  1019
  475    .164E+03    .173E+00    3  1022
  476    .164E+03    .200E-01    2  1024
  477    .164E+03    .258E-01    2  1026
  478    .164E+03    .341E-01    2  1028
  479    .164E+03    .438E-01    2  1030
  480    .164E+03    .584E-01    2  1032
  481    .164E+03    .744E-01    2  1034
  482    .164E+03    .929E-01    2  1036
  483    .164E+03    .130E+00    2  1038
  484    .165E+03    .173E+00    2  1040
  485    .165E+03    .173E+00    2  1042
  486    .165E+03    .173E+00    2  1044
  487    .165E+03    .250E+00    2  1046
  488    .166E+03    .375E+00    2  1048
  489    .166E+03    .375E+00    2  1050
  490    .166E+03    .200E-01    3  1053
  491    .166E+03    .258E-01    3  1056
  492    .166E+03    .341E-01    3  1059
  493    .166E+03    .438E-01    3  1062
  494    .166E+03    .584E-01    3  1065
  495    .166E+03    .744E-01    3  1068
  496    .166E+03    .929E-01    3  1071
  497    .166E+03    .130E+00    3  1074
  498    .167E+03    .173E+00    3  1077
  499    .167E+03    .173E+00    3  1080
  500    .167E+03    .173E+00    3  1083
  501    .167E+03    .250E+00    3  1086
  502    .168E+03    .375E+00    3  1089
  503    .168E+03    .375E+00    2  1091
  504    .168E+03    .200E-01    2  1093
  505    .168E+03    .258E-01    2  1095
  506    .168E+03    .341E-01    2  1097
  507    .168E+03    .438E-01    2  1099
  508    .168E+03    .584E-01    2  1101
  509    .168E+03    .744E-01    2  1103
  510    .168E+03    .929E-01    2  1105
  511    .168E+03    .130E+00    2  1107
  512    .169E+03    .173E+00    2  1109
  513    .169E+03    .173E+00    2  1111
  514    .169E+03    .173E+00    2  1113
  515    .169E+03    .200E-01    3  1116
  516    .169E+03    .258E-01    3  1119
  517    .169E+03    .341E-01    3  1122
  518    .169E+03    .438E-01    3  1125
  519    .169E+03    .584E-01    3  1128
  520    .169E+03    .744E-01    3  1131
  521    .169E+03    .929E-01    3  1134
  522    .169E+03    .130E+00    3  1137
  523    .170E+03    .173E+00    3  1140
  524    .170E+03    .173E+00    3  1143
  525    .170E+03    .173E+00    3  1146
  526    .170E+03    .200E-01    2  1148
  527    .170E+03    .258E-01    2  1150
  528    .170E+03    .341E-01    2  1152
  529    .170E+03    .438E-01    2  1154
  530    .170E+03    .584E-01    2  1156
  531    .170E+03    .744E-01    2  1158
  532    .170E+03    .929E-01    2  1160
  533    .170E+03    .130E+00    2  1162
  534    .171E+03    .173E+00    2  1164
  535    .171E+03    .173E+00    2  1166
  536    .171E+03    .173E+00    2  1168
