


                               Node( 87)

     time        hNew    theta    Temp       Conc       Sorb    
     20.043       .000   .6330     .000   .767E+01   .000E+00
     20.087       .000   .6330     .000   .763E+01   .000E+00
     20.130       .000   .6330     .000   .759E+01   .000E+00
     20.173       .000   .6330     .000   .755E+01   .000E+00
     20.215       .000   .6330     .000   .751E+01   .000E+00
     20.258       .000   .6330     .000   .747E+01   .000E+00
     20.300       .000   .6330     .000   .743E+01   .000E+00
     20.342       .000   .6330     .000   .739E+01   .000E+00
     20.384       .000   .6330     .000   .735E+01   .000E+00
     20.426       .000   .6330     .000   .730E+01   .000E+00
     20.468       .000   .6330     .000   .726E+01   .000E+00
     20.510       .000   .6330     .000   .722E+01   .000E+00
     20.551       .000   .6330     .000   .718E+01   .000E+00
     20.593       .000   .6330     .000   .713E+01   .000E+00
     20.634       .000   .6330     .000   .709E+01   .000E+00
     20.675       .000   .6330     .000   .705E+01   .000E+00
     20.716       .000   .6330     .000   .700E+01   .000E+00
     20.757       .000   .6330     .000   .696E+01   .000E+00
     20.798       .000   .6330     .000   .691E+01   .000E+00
     20.838       .000   .6330     .000   .687E+01   .000E+00
     20.879       .000   .6330     .000   .683E+01   .000E+00
     20.919       .000   .6330     .000   .678E+01   .000E+00
     20.959       .000   .6330     .000   .674E+01   .000E+00
     20.999       .000   .6330     .000   .669E+01   .000E+00
     21.039       .000   .6330     .000   .665E+01   .000E+00
     21.079       .000   .6330     .000   .660E+01   .000E+00
     21.119       .000   .6330     .000   .656E+01   .000E+00
     21.158       .000   .6330     .000   .651E+01   .000E+00
     21.198       .000   .6330     .000   .647E+01   .000E+00
     21.237       .000   .6330     .000   .642E+01   .000E+00
     21.277       .000   .6330     .000   .638E+01   .000E+00
     21.316       .000   .6330     .000   .633E+01   .000E+00
     21.355       .000   .6330     .000   .629E+01   .000E+00
     21.394       .000   .6330     .000   .624E+01   .000E+00
     21.432       .000   .6330     .000   .620E+01   .000E+00
     21.471       .000   .6330     .000   .615E+01   .000E+00
     21.510       .000   .6330     .000   .611E+01   .000E+00
     21.548       .000   .6330     .000   .606E+01   .000E+00
     21.587       .000   .6330     .000   .602E+01   .000E+00
     21.625       .000   .6330     .000   .598E+01   .000E+00
     21.663       .000   .6330     .000   .593E+01   .000E+00
     21.701       .000   .6330     .000   .589E+01   .000E+00
     21.739       .000   .6330     .000   .584E+01   .000E+00
     21.777       .000   .6330     .000   .580E+01   .000E+00
     21.815       .000   .6330     .000   .575E+01   .000E+00
     21.853       .000   .6330     .000   .571E+01   .000E+00
     21.890       .000   .6330     .000   .566E+01   .000E+00
     21.928       .000   .6330     .000   .562E+01   .000E+00
     21.965       .000   .6330     .000   .557E+01   .000E+00
     22.003       .000   .6330     .000   .553E+01   .000E+00
     22.040       .000   .6330     .000   .548E+01   .000E+00
     22.077       .000   .6330     .000   .544E+01   .000E+00
     22.114       .000   .6330     .000   .540E+01   .000E+00
     22.151       .000   .6330     .000   .535E+01   .000E+00
     22.188       .000   .6330     .000   .531E+01   .000E+00
     22.225       .000   .6330     .000   .526E+01   .000E+00
     22.261       .000   .6330     .000   .522E+01   .000E+00
     22.298       .000   .6330     .000   .518E+01   .000E+00
     22.334       .000   .6330     .000   .513E+01   .000E+00
     22.371       .000   .6330     .000   .509E+01   .000E+00
     22.407       .000   .6330     .000   .505E+01   .000E+00
     22.443       .000   .6330     .000   .500E+01   .000E+00
     22.479       .000   .6330     .000   .496E+01   .000E+00
     22.515       .000   .6330     .000   .492E+01   .000E+00
     22.551       .000   .6330     .000   .488E+01   .000E+00
