

 Time  ***    120.0000 ***

    n    x(n)  z(n)     vz(n)     vz(n+1) ...
    5      .0   228.0  -.46E-01  -.48E-01
    7      .0   226.0  -.40E-01  -.42E-01
    9      .0   224.0  -.31E-01  -.34E-01
   11      .0   220.0  -.19E-01  -.23E-01
   13      .0   215.0  -.61E-02  -.11E-01
   15      .0   210.0   .66E-02   .24E-02
   17      .0   205.0   .19E-01   .15E-01
   19      .0   200.0   .31E-01   .28E-01
   21      .0   190.0   .24E-01   .33E-01
   23      .0   180.0   .36E-01   .47E-01
   25      .0   170.0   .22E-01   .26E-01
   27      .0   160.0   .16E-01   .19E-01
   29      .0   150.0   .11E-01   .13E-01
   31      .0   140.0   .73E-02   .91E-02
   33      .0   130.0   .44E-02   .57E-02
   35      .0   120.0   .25E-02   .33E-02
   37      .0   110.0   .12E-02   .17E-02
   39      .0   100.0   .36E-03   .65E-03
   41      .0    90.0  -.16E-03  -.26E-04
   43      .0    80.0  -.45E-03  -.42E-03
   45      .0    70.0  -.60E-03  -.63E-03
   47      .0    60.0  -.66E-03  -.73E-03
   49      .0    50.0  -.67E-03  -.77E-03
   51      .0    40.0  -.66E-03  -.77E-03
   53      .0    30.0  -.71E-03  -.81E-03
   55      .0    20.0  -.77E-03  -.81E-03
   57      .0    10.0  -.73E-03  -.73E-03
   59      .0     5.0  -.74E-03  -.73E-03
   61      .0     2.0  -.71E-03  -.73E-03
   63      .0     1.0  -.75E-03  -.72E-03
   65      .0      .0  -.78E-03  -.78E-03


 Time  ***    273.0000 ***

    n    x(n)  z(n)     vz(n)     vz(n+1) ...

    1      .0   230.0  -.11E+01  -.11E+01
    3      .0   229.0  -.10E+01  -.99E+00
    5      .0   228.0  -.98E+00  -.96E+00
    7      .0   226.0  -.89E+00  -.87E+00
    9      .0   224.0  -.80E+00  -.78E+00
   11      .0   220.0  -.58E+00  -.58E+00
   13      .0   215.0  -.37E+00  -.39E+00
   15      .0   210.0  -.21E+00  -.23E+00
   17      .0   205.0  -.11E+00  -.13E+00
   19      .0   200.0  -.26E-01  -.52E-01
   21      .0   190.0   .90E-02   .47E-02
   23      .0   180.0   .44E-01   .47E-01
   25      .0   170.0   .49E-01   .51E-01
   27      .0   160.0   .54E-01   .57E-01
   29      .0   150.0   .55E-01   .59E-01
   31      .0   140.0   .55E-01   .60E-01
   33      .0   130.0   .52E-01   .57E-01
   35      .0   120.0   .50E-01   .56E-01
   37      .0   110.0   .47E-01   .52E-01
   39      .0   100.0   .43E-01   .48E-01
   41      .0    90.0   .38E-01   .43E-01
   43      .0    80.0   .33E-01   .38E-01
   45      .0    70.0   .28E-01   .33E-01
   47      .0    60.0   .22E-01   .27E-01
   49      .0    50.0   .16E-01   .21E-01
   51      .0    40.0   .11E-01   .14E-01
   53      .0    30.0   .56E-02   .83E-02
   55      .0    20.0   .14E-02   .30E-02
   57      .0    10.0  -.44E-03  -.42E-03
   59      .0     5.0  -.48E-03  -.48E-03
   61      .0     2.0  -.46E-03  -.47E-03
   63      .0     1.0  -.47E-03  -.46E-03
   65      .0      .0  -.48E-03  -.48E-03
