


                         Node(***)                      Node(***)                      Node(***)                      Node(***)                      Node(

     time         hNew     theta     conc        hNew     theta     conc        hNew     theta     conc        hNew     theta     conc    
       .103     -4.308    .0727   .253E-08      2.275    .4500   .148E-41      5.988    .4500   .000E+00       .000    .4500   .000E+00
       .110     -4.308    .0727   .375E-08      2.263    .4500   .277E-41      5.978    .4500   .000E+00       .000    .4500   .000E+00
       .117     -4.308    .0727   .545E-08      2.252    .4500   .503E-41      5.970    .4500   .000E+00       .000    .4500   .000E+00
       .123     -4.308    .0727   .778E-08      2.240    .4500   .888E-41      5.961    .4500   .000E+00       .000    .4500   .000E+00
       .130     -4.308    .0727   .109E-07      2.227    .4500   .153E-40      5.953    .4500   .000E+00       .000    .4500   .000E+00
       .137     -4.308    .0727   .152E-07      2.215    .4500   .257E-40      5.945    .4500   .000E+00       .000    .4500   .000E+00
       .143     -4.308    .0727   .209E-07      2.203    .4500   .425E-40      5.938    .4500   .000E+00       .000    .4500   .000E+00
       .150     -4.308    .0727   .284E-07      2.192    .4500   .690E-40      5.930    .4500   .000E+00       .000    .4500   .000E+00
       .157     -4.308    .0727   .385E-07      2.180    .4500   .110E-39      5.922    .4500   .000E+00       .000    .4500   .000E+00
       .163     -4.308    .0727   .520E-07      2.169    .4500   .173E-39      5.915    .4500   .000E+00       .000    .4500   .000E+00
       .170     -4.308    .0727   .702E-07      2.158    .4500   .269E-39      5.907    .4500   .000E+00       .000    .4500   .000E+00
       .177     -4.308    .0727   .949E-07      2.148    .4500   .411E-39      5.899    .4500   .000E+00       .000    .4500   .000E+00
       .183     -4.308    .0727   .129E-06      2.137    .4500   .622E-39      5.892    .4500   .000E+00       .000    .4500   .000E+00
       .190     -4.308    .0727   .178E-06      2.126    .4500   .929E-39      5.885    .4500   .000E+00       .000    .4500   .000E+00
       .197     -4.308    .0727   .248E-06      2.115    .4500   .137E-38      5.879    .4500   .000E+00       .000    .4500   .000E+00
       .203     -4.308    .0727   .351E-06      2.104    .4500   .201E-38      5.874    .4500   .000E+00       .000    .4500   .000E+00
       .210     -4.308    .0727   .506E-06      2.093    .4500   .291E-38      5.869    .4500   .000E+00       .000    .4500   .000E+00
       .217     -4.308    .0727   .743E-06      2.082    .4500   .418E-38      5.864    .4500   .000E+00       .000    .4500   .000E+00
       .223     -4.308    .0727   .112E-05      2.071    .4500   .595E-38      5.860    .4500   .000E+00       .000    .4500   .000E+00
       .230     -4.307    .0727   .170E-05      2.061    .4500   .838E-38      5.855    .4500   .000E+00       .000    .4500   .000E+00
       .237     -4.307    .0727   .263E-05      2.051    .4500   .117E-37      5.851    .4500   .000E+00       .000    .4500   .000E+00
       .243     -4.307    .0727   .416E-05      2.041    .4500   .162E-37      5.847    .4500   .000E+00       .000    .4500   .000E+00
       .250     -4.306    .0727   .668E-05      2.032    .4500   .222E-37      5.843    .4500   .000E+00       .000    .4500   .000E+00
       .257     -4.305    .0727   .109E-04      2.023    .4500   .303E-37      5.839    .4500   .000E+00       .000    .4500   .000E+00
       .264     -4.304    .0727   .184E-04      2.013    .4500   .411E-37      5.835    .4500   .000E+00       .000    .4500   .140E-44
       .270     -4.301    .0727   .322E-04      2.004    .4500   .552E-37      5.832    .4500   .000E+00       .000    .4500   .140E-44
       .277     -4.297    .0727   .582E-04      1.996    .4500   .736E-37      5.828    .4500   .000E+00       .000    .4500   .280E-44
       .284     -4.290    .0728   .105E-03      1.987    .4500   .973E-37      5.825    .4500   .000E+00       .000    .4500   .420E-44
       .291     -4.278    .0728   .186E-03      1.978    .4500   .128E-36      5.821    .4500   .000E+00       .000    .4500   .561E-44
       .297     -4.262    .0729   .315E-03      1.969    .4500   .167E-36      5.818    .4500   .000E+00       .000    .4500   .841E-44
       .304     -4.237    .0731   .513E-03      1.960    .4500   .216E-36      5.815    .4500   .000E+00       .000    .4500   .126E-43
       .311     -4.204    .0732   .802E-03      1.951    .4500   .277E-36      5.812    .4500   .000E+00       .000    .4500   .168E-43
       .318     -4.158    .0735   .122E-02      1.942    .4500   .354E-36      5.809    .4500   .000E+00       .000    .4500   .238E-43
       .324     -4.098    .0739   .179E-02      1.936    .4500   .448E-36      5.806    .4500   .000E+00       .000    .4500   .322E-43
       .331     -4.020    .0743   .257E-02      1.931    .4500   .563E-36      5.804    .4500   .000E+00       .000    .4500   .434E-43
       .338     -3.919    .0749   .359E-02      1.927    .4500   .703E-36      5.801    .4500   .000E+00       .000    .4500   .589E-43
       .345     -3.811    .0756   .491E-02      1.922    .4500   .872E-36      5.798    .4500   .000E+00       .000    .4500   .799E-43
       .351     -3.689    .0765   .659E-02      1.918    .4500   .108E-35      5.796    .4500   .000E+00       .000    .4500   .106E-42
       .358     -3.540    .0776   .869E-02      1.914    .4500   .132E-35      5.793    .4500   .000E+00       .000    .4500   .140E-42
       .365     -3.376    .0789   .113E-01      1.911    .4500   .161E-35      5.791    .4500   .000E+00       .000    .4500   .185E-42
