 Example 2 - Grass Field Problem (Hupselse Beek 1982)

 Program SWMS_3D
 Date:  21. 7.    Time:  12:34:19
 Time dependent boundary conditions
 Units: L = cm   , T = day  , M = -
 All cumulative fluxes (CumQ) are positive out of the region

     Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
      [T]      [L3]        [L3]       [L3]       [L3]      [L3]        [L3]       [L3]       [L3]        [L3]

    118.5000  -.239E+01   .495E+01  -.239E+01   .495E+01   .728E+00   .000E+00   .000E+00   .000E+00   .000E+00
    119.0000  -.252E+01   .501E+01  -.252E+01   .501E+01   .735E+00   .000E+00   .000E+00   .000E+00   .000E+00
    119.5000  -.264E+01   .507E+01  -.264E+01   .507E+01   .741E+00   .000E+00   .000E+00   .000E+00   .000E+00
    120.0000  -.276E+01   .512E+01  -.276E+01   .512E+01   .747E+00   .000E+00   .000E+00   .000E+00   .000E+00
    120.5000  -.307E+01   .516E+01  -.307E+01   .516E+01   .754E+00   .000E+00   .000E+00   .000E+00   .000E+00
    121.0000  -.337E+01   .520E+01  -.337E+01   .520E+01   .760E+00   .000E+00   .000E+00   .000E+00   .000E+00
    121.5000  -.337E+01   .531E+01  -.337E+01   .531E+01   .767E+00   .000E+00   .000E+00   .000E+00   .000E+00
    122.0000  -.337E+01   .541E+01  -.337E+01   .541E+01   .774E+00   .000E+00   .000E+00   .000E+00   .000E+00
    122.5000  -.347E+01   .548E+01  -.347E+01   .548E+01   .781E+00   .000E+00   .000E+00   .000E+00   .000E+00
    123.0000  -.356E+01   .555E+01  -.356E+01   .555E+01   .788E+00   .000E+00   .000E+00   .000E+00   .000E+00
    123.5000  -.365E+01   .566E+01  -.365E+01   .566E+01   .795E+00   .000E+00   .000E+00   .000E+00   .000E+00
    124.0000  -.373E+01   .576E+01  -.373E+01   .576E+01   .802E+00   .000E+00   .000E+00   .000E+00   .000E+00
    124.5000  -.412E+01   .580E+01  -.412E+01   .580E+01   .809E+00   .000E+00   .000E+00   .000E+00   .000E+00
    125.0000  -.451E+01   .583E+01  -.451E+01   .583E+01   .816E+00   .000E+00   .000E+00   .000E+00   .000E+00
    125.5000  -.510E+01   .588E+01  -.510E+01   .588E+01   .824E+00   .000E+00   .000E+00   .000E+00   .000E+00
    126.0000  -.569E+01   .593E+01  -.569E+01   .593E+01   .833E+00   .000E+00   .000E+00   .000E+00   .000E+00
    126.5000  -.603E+01   .598E+01  -.603E+01   .598E+01   .843E+00   .000E+00   .000E+00   .000E+00   .000E+00
    127.0000  -.637E+01   .603E+01  -.637E+01   .603E+01   .855E+00   .000E+00   .000E+00   .000E+00   .000E+00
    127.5000  -.637E+01   .611E+01  -.637E+01   .611E+01   .869E+00   .000E+00   .000E+00   .000E+00   .000E+00
    128.0000  -.637E+01   .619E+01  -.637E+01   .619E+01   .884E+00   .000E+00   .000E+00   .000E+00   .000E+00
    128.5000  -.637E+01   .632E+01  -.637E+01   .632E+01   .898E+00   .000E+00   .000E+00   .000E+00   .000E+00
    129.0000  -.637E+01   .645E+01  -.637E+01   .645E+01   .912E+00   .000E+00   .000E+00   .000E+00   .000E+00
    129.5000  -.637E+01   .658E+01  -.637E+01   .658E+01   .925E+00   .000E+00   .000E+00   .000E+00   .000E+00
    130.0000  -.637E+01   .671E+01  -.637E+01   .671E+01   .938E+00   .000E+00   .000E+00   .000E+00   .000E+00
    130.5000  -.637E+01   .684E+01  -.637E+01   .684E+01   .950E+00   .000E+00   .000E+00   .000E+00   .000E+00
    131.0000  -.637E+01   .696E+01  -.637E+01   .696E+01   .961E+00   .000E+00   .000E+00   .000E+00   .000E+00
    131.5000  -.637E+01   .712E+01  -.637E+01   .712E+01   .972E+00   .000E+00   .000E+00   .000E+00   .000E+00
    132.0000  -.637E+01   .727E+01  -.637E+01   .727E+01   .982E+00   .000E+00   .000E+00   .000E+00   .000E+00
    132.5000  -.637E+01   .745E+01  -.637E+01   .745E+01   .992E+00   .000E+00   .000E+00   .000E+00   .000E+00
    133.0000  -.637E+01   .762E+01  -.637E+01   .762E+01   .100E+01   .000E+00   .000E+00   .000E+00   .000E+00
    133.5000  -.637E+01   .783E+01  -.637E+01   .783E+01   .101E+01   .000E+00   .000E+00   .000E+00   .000E+00
    134.0000  -.637E+01   .803E+01  -.637E+01   .803E+01   .102E+01   .000E+00   .000E+00   .000E+00   .000E+00
    134.5000  -.637E+01   .823E+01  -.637E+01   .823E+01   .103E+01   .000E+00   .000E+00   .000E+00   .000E+00
    135.0000  -.637E+01   .842E+01  -.637E+01   .842E+01   .103E+01   .000E+00   .000E+00   .000E+00   .000E+00
    135.5000  -.637E+01   .862E+01  -.637E+01   .862E+01   .104E+01   .000E+00   .000E+00   .000E+00   .000E+00
    136.0000  -.637E+01   .882E+01  -.637E+01   .882E+01   .105E+01   .000E+00   .000E+00   .000E+00   .000E+00
    136.5000  -.647E+01   .891E+01  -.647E+01   .891E+01   .105E+01   .000E+00   .000E+00   .000E+00   .000E+00
    137.0000  -.656E+01   .899E+01  -.656E+01   .899E+01   .106E+01   .000E+00   .000E+00   .000E+00   .000E+00
    137.5000  -.669E+01   .912E+01  -.669E+01   .912E+01   .107E+01   .000E+00   .000E+00   .000E+00   .000E+00
    138.0000  -.682E+01   .924E+01  -.682E+01   .924E+01   .107E+01   .000E+00   .000E+00   .000E+00   .000E+00
    138.5000  -.683E+01   .939E+01  -.683E+01   .939E+01   .108E+01   .000E+00   .000E+00   .000E+00   .000E+00
    139.0000  -.683E+01   .953E+01  -.683E+01   .953E+01   .108E+01   .000E+00   .000E+00   .000E+00   .000E+00
    139.5000  -.693E+01   .961E+01  -.693E+01   .961E+01   .109E+01   .000E+00   .000E+00   .000E+00   .000E+00
    140.0000  -.703E+01   .968E+01  -.703E+01   .968E+01   .110E+01   .000E+00   .000E+00   .000E+00   .000E+00
    140.5000  -.703E+01   .976E+01  -.703E+01   .976E+01   .110E+01   .000E+00   .000E+00   .000E+00   .000E+00
    141.0000  -.703E+01   .984E+01  -.703E+01   .984E+01   .111E+01   .000E+00   .000E+00   .000E+00   .000E+00
    141.5000  -.716E+01   .990E+01  -.716E+01   .990E+01   .111E+01   .000E+00   .000E+00   .000E+00   .000E+00
    142.0000  -.728E+01   .996E+01  -.728E+01   .996E+01   .112E+01   .000E+00   .000E+00   .000E+00   .000E+00
    142.5000  -.738E+01   .101E+02  -.738E+01   .101E+02   .112E+01   .000E+00   .000E+00   .000E+00   .000E+00
    143.0000  -.748E+01   .102E+02  -.748E+01   .102E+02   .113E+01   .000E+00   .000E+00   .000E+00   .000E+00
    143.5000  -.752E+01   .103E+02  -.752E+01   .103E+02   .113E+01   .000E+00   .000E+00   .000E+00   .000E+00
    144.0000  -.755E+01   .104E+02  -.755E+01   .104E+02   .114E+01   .000E+00   .000E+00   .000E+00   .000E+00
    144.5000  -.755E+01   .105E+02  -.755E+01   .105E+02   .114E+01   .000E+00   .000E+00   .000E+00   .000E+00
    145.0000  -.755E+01   .106E+02  -.755E+01   .106E+02   .115E+01   .000E+00   .000E+00   .000E+00   .000E+00
    145.5000  -.755E+01   .109E+02  -.755E+01   .109E+02   .115E+01   .000E+00   .000E+00   .000E+00   .000E+00
    146.0000  -.755E+01   .111E+02  -.755E+01   .111E+02   .116E+01   .000E+00   .000E+00   .000E+00   .000E+00
    146.5000  -.770E+01   .113E+02  -.770E+01   .113E+02   .116E+01   .000E+00   .000E+00   .000E+00   .000E+00
    147.0000  -.784E+01   .115E+02  -.784E+01   .115E+02   .117E+01   .000E+00   .000E+00   .000E+00   .000E+00
    147.5000  -.785E+01   .116E+02  -.785E+01   .116E+02   .117E+01   .000E+00   .000E+00   .000E+00   .000E+00
    148.0000  -.785E+01   .117E+02  -.785E+01   .117E+02   .118E+01   .000E+00   .000E+00   .000E+00   .000E+00
